"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" 0.229837179936616 0.492462706110049 0.502214706323864 -0.065209494202296 -0.032111320223551
"linear regression" -0.0262916047453345 -0.026324820943973 -0.0371971260215072 -0.0375277301541197 -0.0374384680015565
"multi linear regression" 0.588440699301378 0.580334854094433 0.450565863125351 -0.0482582969857013 -0.0617267245181232
"ridge" 0.599545713055337 0.583717784302377 0.594224636868039 0.0144203290599036 0.00956425230544278
"lasso" 0.602212129040617 0.586082849850018 0.595674629036752 0.00176945833801001 0.00147766215199041
"elastic net" 0.603962842052443 0.588763309863313 0.598958670019346 0.00205269506253314 0.00113949692765636
"bagging cart" 0.556700486612491 0.560527349163039 0.564633938923577 -0.0767051917742072 -0.0808080621584695
"random forest" 0.591053467820515 0.596268748150163 0.573521574753008 -0.0398463191729705 -0.0450754162832125
"gradient boost" 0.57605567949486 0.585451402961092 0.572879042759228 -0.0882404439188609 -0.0967738826578002
"svm" 0.553945964506755 0.545757227790853 0.463280322149157 -0.176183424051095 -0.177370535813596
"single layer ann" 0.579695496802603 0.540416326813651 -0.0147508834845411 -0.174313418493721 -0.225538661138834
"xgboost" 0.587949029167851 0.595536853130648 0.56178281925272 -0.111080425804994 -0.103123725209786
