"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" 0.243176781618188 0.48661633637123 0.502510499853417 -0.0501448866139884 -0.0128756670162884
"linear regression" -0.0262916047453345 -0.026324820943973 -0.125155055587258 -0.0375277301541197 -0.0374384680015565
"multi linear regression" 0.58684658931165 0.578563121479856 0.398375232989003 -0.0544258731784322 -0.068380976441057
"ridge" 0.601011429690594 0.586332193988456 0.59721989777034 0.021946698393851 0.0197175451609519
"lasso" 0.60214598552004 0.583939755418451 0.597542412890376 0.00114094267138765 0.00239842037166194
"elastic net" 0.604003601564322 0.588440585382501 0.598422477170055 0.000818654183807332 0.00207690435432784
"bagging cart" 0.550469328358632 0.55205073647441 0.55692482814448 -0.0692472371051642 -0.0835446044838204
"random forest" 0.59007194595561 0.593994886841314 0.571833656565062 -0.0159097801722541 -0.0225078892559623
"gradient boost" 0.584138245033613 0.589987032402727 0.542853303753426 -0.0582122893767463 -0.0315680362297222
"svm" 0.560326472316798 0.553007824480469 0.442783905874186 -0.165050403381891 -0.160470404737509
"single layer ann" 0.270453346909671 0.541801014376307 -0.0147508827318243 -0.0997108854977105 -0.186327509087058
"xgboost" 0.592822066911387 0.595859510389864 0.558702815784982 -0.0798619574784725 -0.0601797245224893
