"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" 1.57753583768021 1.29928083650466 1.27901008840648 1.85826061164595 1.82498827869897
"linear regression" 1.34573054487845 1.35240947002316 1.35294229472228 1.77205179367796 1.77461524856522
"multi linear regression" 1.16556817727588 1.17719464759019 1.40651660517335 1.86204442178029 1.87432580189197
"ridge" 1.14541334291746 1.16629354501931 1.15084282496845 1.79334262964441 1.79538513605985
"lasso" 1.14378364644107 1.16966129911592 1.15038197978341 1.81231680075746 1.81117566595581
"elastic net" 1.14111030810762 1.16331755253972 1.14912350660194 1.81260915518375 1.81146750344247
"bagging cart" 1.21579870115335 1.21365828228593 1.20703737474725 1.87508551484159 1.88758017546537
"random forest" 1.16100965397355 1.15544096787538 1.18655609229573 1.82771965066235 1.83364536191114
"gradient boost" 1.16938226101922 1.16112989501206 1.22605457792675 1.86538470257203 1.84175114663558
"svm" 1.20239502177585 1.21236103837875 1.35361087968959 1.95728635195585 1.95343536136244
"single layer ann" 1.54884709386281 1.22746487206915 1.82667686907032 1.90160921155793 1.97507827091949
"xgboost" 1.15710861556143 1.1527846690797 1.20461311924282 1.88436978253138 1.86711796498642
