"Origin" "Norm" "MinMax" "Quan" "Tran"
"knn" 1.59137776244698 1.29186160348954 1.27939026395782 1.87154177205932 1.8422360696728
"linear regression" 1.34573054487845 1.35240947002316 1.35294229472228 1.77205179367796 1.77461524856522
"multi linear regression" 1.16331739153765 1.17471756153592 1.344125529955 1.85659067486289 1.86847970512107
"ridge" 1.14751529832722 1.16997326884609 1.15511400135422 1.80022952015334 1.80465905087912
"lasso" 1.14368856505564 1.16664499205712 1.15304831999523 1.81174652573447 1.8120113053
"elastic net" 1.14116903326594 1.16286135512654 1.14835608613696 1.81148947611731 1.81231811232623
"bagging cart" 1.20734291471282 1.20212031691101 1.19649061327942 1.88161347300578 1.88519508280842
"random forest" 1.15961887417825 1.15220085909652 1.18421496085204 1.84912636112089 1.85376990103522
"gradient boost" 1.18069145803924 1.16753453433403 1.1851066936798 1.89166592825285 1.89906819568338
"svm" 1.21108812816201 1.22215425278452 1.32848229124536 1.96661586251087 1.96760805641573
"single layer ann" 1.17561205849783 1.22931818605802 1.82667686974781 1.96505188642492 2.00745361270937
"xgboost" 1.16401206383934 1.15324475677301 1.20040200120052 1.9114139831188 1.9045576501625
